,journal,issn-l,issn-e,categories,oa-id
10782,CARBON TRENDS,2667-0569,2667-0569,"Materials Science, Multidisciplinary",S4210240045
10783,CARDIAC FAILURE REVIEW,2057-7540,2057-7559,Cardiac & Cardiovascular System,S4210170523
10784,CARDIOGENETICS,2035-8253,2035-8148,Cardiac & Cardiovascular System,S4210239542
10785,CARDIOLOGY AND THERAPY,2193-8261,2193-6544,Cardiac & Cardiovascular System,S2738736363
10786,CARDIOLOGY DISCOVERY,2096-952X,2693-8499,Cardiac & Cardiovascular System,S4210215801
10787,CARDIOLOGY PLUS,2470-7511,2470-752X,Cardiac & Cardiovascular System,S4210203274
10788,CARDIOLOGY RESEARCH,1923-2829,1923-2837,Cardiac & Cardiovascular System,S4210220318
10789,CARDIO-ONCOLOGY,,2057-3804,Oncology | Cardiac & Cardiovascular System,
10790,CARDIOTHORACIC SURGEON,2636-333X,2662-2203,Cardiac & Cardiovascular System,
10791,CARDIOVASCULAR ENDOCRINOLOGY & METABOLISM,2574-0954,2574-0954,Cardiac & Cardiovascular System,S4210226760
10792,CARDIOVASCULAR INNOVATIONS AND APPLICATIONS,2009-8618,2009-8782,Cardiac & Cardiovascular System,S4210229582
10793,CARDIOVASCULAR INTERVENTION AND THERAPEUTICS,1868-4300,1868-4297,Cardiac & Cardiovascular System,S204778136
10794,CARDIOVASCULAR REVASCULARIZATION MEDICINE,1553-8389,1878-0938,Cardiac & Cardiovascular System,S86061721
10795,CARPATHIAN JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,2066-6845,2344-5459,Food Science & Technology,S4210176275
10796,CARPATHIAN MATHEMATICAL PUBLICATIONS,2075-9827,2313-0210,Mathematics,S2764783225
10797,CARTAGINE-STUDI E RICERCHE,2532-3563,2532-1110,Archaeology,
10798,CARTAPHILUS,1887-5238,1887-5238,"Humanities, Multidisciplinary",S4210170859
10799,CARTE ROMANZE,2282-7447,2282-7447,"Literature, Romance",S4210168390
10800,CARTOGRAPHICA,0317-7173,1911-9925,Geography,S30806240
10801,CASE REPORTS IN CARDIOLOGY,2090-6404,2090-6412,Cardiac & Cardiovascular System,S2764744020
10802,CASE REPORTS IN DENTISTRY,2090-6447,2090-6455,"Dentistry, Oral Surgery & Medicine",S2755507738
10803,CASE REPORTS IN DERMATOLOGY,1662-6567,1662-6567,Dermatology,S22267823
10804,CASE REPORTS IN ENDOCRINOLOGY,2090-6501,2090-651X,Endocrinology & Metabolism,S2764963572
10805,CASE REPORTS IN GASTROENTEROLOGY,,1662-0631,Gastroenterology & Hepatology,
10806,CASE REPORTS IN GASTROINTESTINAL MEDICINE,2090-6528,2090-6536,Gastroenterology & Hepatology,S2764374431
10807,CASE REPORTS IN HEMATOLOGY,2090-6560,2090-6579,Hematology,S2764732053
10808,CASE REPORTS IN IMMUNOLOGY,2090-6609,2090-6617,Immunology,S4210195567
10809,CASE REPORTS IN INFECTIOUS DISEASES,2090-6625,2090-6633,Infectious Diseases,S2764911695
10810,CASE REPORTS IN MEDICINE,1687-9627,1687-9635,"Medicine, General & Internal",S18728686
10811,CASE REPORTS IN NEPHROLOGY AND DIALYSIS,2296-9705,2296-9705,Urology & Nephrology,S4210211669
10812,CASE REPORTS IN NEUROLOGICAL MEDICINE,2090-6668,2090-6676,Clinical Neurology,S2764983098
10813,CASE REPORTS IN NEUROLOGY,,1662-680X,Clinical Neurology,
10814,CASE REPORTS IN OBSTETRICS AND GYNECOLOGY,2090-6684,2090-6692,Obstetrics & Gynecology,S2755663446
10815,CASE REPORTS IN ONCOLOGICAL MEDICINE,2090-6706,2090-6714,Oncology,S2765015069
10816,CASE REPORTS IN ONCOLOGY,1662-6575,1662-6575,Oncology,S62365728
10817,CASE REPORTS IN OPHTHALMOLOGICAL MEDICINE,2090-6722,2090-6730,Ophthalmology,S2764726577
10818,CASE REPORTS IN OPHTHALMOLOGY,1663-2699,1663-2699,Ophthalmology,S55777448
10819,CASE REPORTS IN ORTHOPEDICS,2090-6749,2090-6757,Orthopedics,S2764806175
10820,CASE REPORTS IN OTOLARYNGOLOGY,2090-6765,2090-6773,Otorhinolaryngology,S2765070938
10821,CASE REPORTS IN PATHOLOGY,2090-6781,2090-679X,Pathology,S2764691556
10822,CASE REPORTS IN PEDIATRICS,2090-6803,2090-6811,Pediatrics,S2764406097
10823,CASE REPORTS IN PERINATAL MEDICINE,2192-8932,2192-8959,Obstetrics & Gynecology,S2764955967
10824,CASE REPORTS IN PLASTIC SURGERY AND HAND SURGERY,2332-0885,2332-0885,Surgery,S4210215075
10825,CASE REPORTS IN SURGERY,2090-6900,2090-6919,Surgery,S2756424783
10826,CASE REPORTS IN WOMENS HEALTH,2214-9112,2214-9112,Obstetrics & Gynecology,S2898284587
10827,CASE STUDIES IN SPORT AND EXERCISE PSYCHOLOGY,2470-4849,2470-4857,"Psychology, Applied | Sport Sciences",S4210234471
10828,CASE STUDIES IN THE ENVIRONMENT,2473-9510,2473-9510,Education & Educational Research | Environmental Studies,S4210240224
10829,CASE STUDIES ON TRANSPORT POLICY,2213-624X,2213-6258,Transportation,S2764739077
10830,CASOPIS ZA EKONOMIJU I TRZISNE KOMUNIKACIJE,2232-8823,2232-9633,Business,S4210193298
10831,CASOPIS ZA SUVREMENU POVIJEST,0590-9597,1848-9079,History,S4210210766
10832,CASPIAN JOURNAL OF INTERNAL MEDICINE,2008-6164,2008-6172,"Medicine, General & Internal",S2764958996
10833,CASTILLA-ESTUDIOS DE LITERATURA,1989-7383,1989-7383,Literature,S2738911231
10834,CATALAN JOURNAL OF COMMUNICATION & CULTURAL STUDIES,1757-1898,1757-1901,Communication,S196137544
10835,CATALAN JOURNAL OF LINGUISTICS,1695-6885,2014-9719,Language & Linguistics,S2765025916
10836,CATALOGING & CLASSIFICATION QUARTERLY,0163-9374,1544-4554,Information Science & Library Science,S202064188
10837,CATALYSIS IN INDUSTRY,2070-0504,2070-0555,"Engineering, Chemical",S182539911
10838,CATEDRAL TOMADA-REVISTA DE CRITICA LITERARIA LATINOAMERICANA-JOURNAL OF LATIN AMERICAN LITERARY CRITICISM,2169-0847,2169-0847,Literary Theory & Criticism,S2737835070
10839,CATEGORIES AND GENERAL ALGEBRAIC STRUCTURES WITH APPLICATIONS,2345-5853,2345-5861,Mathematics,S4210232155
10840,CATHOLIC SOCIAL SCIENCE REVIEW,1091-0905,1944-6292,Religion,S4210234776
10841,CATRINA-THE INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCES,1687-5052,2090-2786,Environmental Sciences,S4210189589
10842,CAUCASUS SURVEY,2376-1199,2376-1202,Area Studies | International Relations | Political Science,S4210195834
10843,CAUCE-REVISTA INTERNACIONAL DE FILOLOGIA COMUNICACION Y SUS DIDACTICAS,0212-0410,0212-0410,Language & Linguistics,S4210179489
10844,CAURIENSIA-REVISTA ANUAL DE CIENCIAS ECLESIASTICAS,1886-4945,2340-4256,Religion,S2739177552
10845,CCF TRANSACTIONS ON HIGH PERFORMANCE COMPUTING,2524-4922,2524-4930,"Computer Science, Hardware & Architecture | Computer Science, Information Systems | Computer Science, Interdisciplinary Applications | Computer Science, Theory & Methods",S4210190911
10846,CCF TRANSACTIONS ON PERVASIVE COMPUTING AND INTERACTION,2524-521X,2524-5228,"Computer Science, Artificial Intelligence | Computer Science, Cybernetics | Computer Science, Information Systems | Computer Science, Interdisciplinary Applications",S4210200914
10847,CCS CHEMISTRY,,2096-5745,"Chemistry, Multidisciplinary",
10848,CEAS SPACE JOURNAL,1868-2502,1868-2510,"Engineering, Aerospace",S87123477
10849,CEDILLE-REVISTA DE ESTUDIOS FRANCESES,1699-4949,1699-4949,"Literature, Romance",S2737398841
10850,CELEHIS-REVISTA DEL CENTRO DE LETRAS HISPANOAMERICANAS,0328-5766,2313-9463,"Literature, Romance",
10851,CELESTINESCA,0147-3085,2695-7183,"Literature, Romance | Medieval & Renaissance Studies",S4210238399
10852,CELL GENOMICS,2666-979X,2666-979X,Cell Biology | Genetics & Heredity,S4210194377
10853,CELL INSIGHT,,2772-8927,Biochemistry & Molecular Biology | Cell Biology,
10854,CELL REGENERATION,,2045-9769,Cell & Tissue Engineering | Cell Biology,
10855,CELL REPORTS METHODS,2667-2375,2667-2375,Biochemical Research Methods | Cell Biology,S4210214705
10856,CELL STRESS,,2523-0204,Cell Biology,
10857,CELL SURFACE,2468-2330,2468-2330,Biochemistry & Molecular Biology,S2898553572
10858,CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,1015-8987,1421-9778,Cell Biology | Physiology,S161399637
10859,CEN CASE REPORTS,2192-4449,2192-4449,Urology & Nephrology,S2764944125
10860,CENTRAL AND EASTERN EUROPEAN MIGRATION REVIEW,,2300-1682,Demography,
10861,CENTRAL BANK REVIEW,1303-0701,1305-8800,Economics,S4210184829
10862,CENTRAL EUROPEAN BUSINESS REVIEW,,1805-4862,Business,
10863,CENTRAL EUROPEAN FORESTRY JOURNAL,2454-034X,2454-0358,Forestry,S4210207060
10864,CENTRAL EUROPEAN JOURNAL OF COMMUNICATION,1899-5101,1899-5101,Communication,S2764705343
10865,CENTRAL EUROPEAN JOURNAL OF ECONOMIC MODELLING AND ECONOMETRICS,2080-0886,2080-119X,Economics,S2764922153
10866,CENTRAL EUROPEAN JOURNAL OF UROLOGY,2080-4806,2080-4873,Urology & Nephrology,S4210228274
10867,CENTRAL EUROPEAN MANAGEMENT JOURNAL,2658-0845,2658-2430,Management,S4210197709
10868,CENTRAL EUROPEAN PUBLIC ADMINISTRATION REVIEW,2591-2240,2591-2259,Public Administration,S4210204642
10869,CENTRO AGRICOLA,0253-5785,2072-2001,Agronomy,S4306505861
10870,CERAMICS-SWITZERLAND,2571-6131,2571-6131,"Materials Science, Ceramics | Materials Science, Multidisciplinary",S4210235895
10871,CERCLES-REVISTA D HISTORIA CULTURAL,1139-0158,1699-7468,History,S2736464242
10872,CEREBRAL CIRCULATION-COGNITION AND BEHAVIOR,2666-2450,2666-2450,Clinical Neurology | Peripheral Vascular Diseases,S4210239413
10873,CEREBROVASCULAR DISEASES EXTRA,1664-5456,1664-5456,Peripheral Vascular Diseases,S2764721955
10874,CESKA GYNEKOLOGIE-CZECH GYNAECOLOGY,1210-7832,1805-4455,Obstetrics & Gynecology,S2756002900
10875,CES TRANSACTIONS ON ELECTRICAL MACHINES AND SYSTEMS,2096-3564,2096-3564,"Engineering, Electrical & Electronic",S4210191295
10876,CEYLON MEDICAL JOURNAL,0009-0875,0009-0875,"Medicine, General & Internal",S20689109
10877,CHALLENGES IN SUSTAINABILITY,2297-6477,2297-6477,Green & Sustainable Science & Technology,S2739373051
10878,CHAMP PENAL-PENAL FIELD,1777-5272,1777-5272,Law,S4210231196
10879,CHANGING ENGLISH-STUDIES IN CULTURE AND EDUCATION,1358-684X,1469-3585,Education & Educational Research,S108263389
10880,CHANGING SOCIETIES & PERSONALITIES,2587-6104,2587-8964,Sociology,S4210204547
10881,CHASQUI-REVISTA LATINOAMERICANA DE COMUNICACION,1390-1079,1390-924X,Communication,S4210203977
10882,CHECK LIST,1809-127X,1809-127X,Biodiversity Conservation | Zoology,S1038286569
10883,CHEM-BIO INFORMATICS JOURNAL,1347-6297,1347-0442,Biochemistry & Molecular Biology,S22672672
10884,CHEM CATALYSIS,2667-1093,2667-1093,"Chemistry, Physical",S4210217284
10885,CHEMENGINEERING,,2305-7084,"Engineering, Chemical",
10886,CHEMICAL AND PETROLEUM ENGINEERING,0009-2355,1573-8329,"Engineering, Chemical",S59886954
10887,CHEMICAL BIOLOGY LETTERS,,2347-9825,"Biochemistry & Molecular Biology | Chemistry, Medicinal",
10888,CHEMICAL & BIOMEDICAL IMAGING,2832-3637,2832-3637,"Chemistry, Analytical",S4387287784
10889,CHEMICAL BULLETIN OF KAZAKH NATIONAL UNIVERSITY,1563-0331,2312-7554,"Chemistry, Multidisciplinary",S2764612405
10890,CHEMICAL DATA COLLECTIONS,,2405-8300,"Chemistry, Multidisciplinary",
10891,CHEMICAL ENGINEERING JOURNAL ADVANCES,2666-8211,2666-8211,"Engineering, Environmental | Engineering, Chemical",S4210233595
10892,CHEMICAL METHODOLOGIES,2645-7776,2588-4344,"Chemistry, Multidisciplinary",S4210206534
10893,CHEMICAL PHYSICS IMPACT,2667-0224,2667-0224,"Chemistry, Physical",S4210212133
10894,CHEMICAL PRODUCT AND PROCESS MODELING,1934-2659,2194-6159,"Engineering, Chemical",S56901069
10895,CHEMISTRY AFRICA-A JOURNAL OF THE TUNISIAN CHEMICAL SOCIETY,2522-5758,2522-5766,"Chemistry, Multidisciplinary",S4210187402
10896,CHEMISTRY & CHEMICAL TECHNOLOGY,1996-4196,1996-4196,"Chemistry, Multidisciplinary",S2764418452
10897,CHEMISTRY-DIDACTICS-ECOLOGY-METROLOGY,1640-9019,2084-4506,Multidisciplinary Sciences,S4210172914
10898,CHEMISTRY FOR SUSTAINABLE DEVELOPMENT,0869-8538,0869-8538,"Chemistry, Multidisciplinary",S4210182984
10899,CHEMISTRY JOURNAL OF MOLDOVA,1857-1727,2345-1688,"Chemistry, Multidisciplinary",S2764549734
10900,CHEMISTRY-METHODS,2628-9725,2628-9725,"Chemistry, Multidisciplinary",S4210208565
10901,CHEMISTRY-SWITZERLAND,,2624-8549,"Chemistry, Multidisciplinary",
10902,CHEMISTRY TEACHER INTERNATIONAL,,2569-3263,"Education, Scientific Disciplines",
10903,CHEMKON,0944-5846,1521-3730,"Education, Scientific Disciplines",S98546363
10904,CHEMPHYSMATER,2097-0323,2772-5715,"Chemistry, Multidisciplinary | Materials Science, Multidisciplinary",S4210197813
10905,CHEMSYSTEMSCHEM,,2570-4206,"Chemistry, Multidisciplinary",
10906,CHEMTEXTS,2199-3793,2199-3793,"Chemistry, Multidisciplinary",S4210187306
10907,CHILD CARE IN PRACTICE,1357-5279,1476-489X,Family Studies | Social Work,S171470348
10908,CHILDHOOD AND PHILOSOPHY,2525-5061,1984-5987,Education & Educational Research | Philosophy,S2764737586
10909,CHILDHOOD IN THE PAST,1758-5716,2040-8528,Anthropology | Archaeology | History,S4210194470
10910,CHILDREN & SCHOOLS,1532-8759,1545-682X,Social Work,S4210223640
10911,CHILDRENS LITERATURE,0092-8208,1543-3374,Literature,S155190469
10912,CHILDRENS LITERATURE ASSOCIATION QUARTERLY,0885-0429,1553-1201,Literature,S177074456
10913,CHILD & YOUTH SERVICES,0145-935X,1545-2298,Social Work,S130131595
10914,CHILEAN JOURNAL OF AGRICULTURAL & ANIMAL SCIENCES,0719-3882,0719-3890,Agronomy,S4210172773
10915,CHILEAN JOURNAL OF STATISTICS,0718-7912,0718-7920,Statistics & Probability,S1016829236
10916,CHINA AND ASIA,2589-4641,2589-465X,Area Studies | History | Asian Studies,S4210184836
10917,CHINA AND WTO REVIEW,2383-8221,2384-4388,Law,S4210219030
10918,CHINA ECONOMIC JOURNAL,1753-8963,1753-8971,Economics,S204649255
10919,CHINA ECONOMIC QUARTERLY INTERNATIONAL,,2666-9331,Economics,
10920,CHINA-EU LAW JOURNAL,1868-5153,1868-5161,Law,S4210189332
10921,CHINA FINANCE REVIEW INTERNATIONAL,2044-1398,2044-1401,"Business, Finance",S2764509274
10922,CHINA GEOLOGY,2096-5192,2096-5192,"Geosciences, Multidisciplinary",S4210231296
10923,CHINA INTERNATIONAL STRATEGY REVIEW,2524-5627,2524-5635,International Relations,S4210227440
10924,CHINA JOURNAL OF ACCOUNTING RESEARCH,1755-3091,1755-3091,"Business, Finance",S2764806082
10925,CHINA JOURNAL OF SOCIAL WORK,1752-5098,1752-5101,Social Work,S77661144
10926,CHINA NONPROFIT REVIEW,1876-5092,1876-5149,Public Administration,S137266632
10927,CHINA POPULATION AND DEVELOPMENT STUDIES,2096-448X,2523-8965,Demography,S4210167870
10928,CHINA QUARTERLY OF INTERNATIONAL STRATEGIC STUDIES,2377-7400,2377-7419,Political Science,S4210172204
10929,CHINA REPORT,0009-4455,0973-063X,Area Studies,S207530399
10930,CHINA SURFACE ENGINEERING,1007-9289,1007-9289,"Materials Science, Coatings & Films",
10931,CHINESE ARCHAEOLOGY,2160-5025,2160-5068,Archaeology,S4210201510
10932,CHINESE CLINICAL ONCOLOGY,2304-3865,2304-3873,Oncology,S2764664221
10933,CHINESE ECONOMY,1097-1475,1558-0954,Economics,S114193083
10934,CHINESE HERBAL MEDICINES,1674-6384,1674-6384,"Chemistry, Medicinal",S2764755576
10935,CHINESE HISTORICAL REVIEW,1547-402X,2048-7827,History,S1032186559
10936,CHINESE JOURNAL OF ACADEMIC RADIOLOGY,2520-8985,2520-8993,"Radiology, Nuclear Medicine & Medical Imaging",S4210178196
10937,CHINESE JOURNAL OF APPLIED LINGUISTICS,2192-9505,2192-9513,Education & Educational Research | Linguistics,S4210195546
10938,CHINESE JOURNAL OF CHROMATOGRAPHY,1000-8713,1000-8713,"Chemistry, Analytical",S4210240353
10939,CHINESE JOURNAL OF COMPARATIVE LAW,2050-4802,2050-4810,Law,S2734741612
10940,CHINESE JOURNAL OF DENTAL RESEARCH,1462-6446,1867-5646,"Dentistry, Oral Surgery & Medicine",S4393917378
10941,CHINESE JOURNAL OF ELECTRICAL ENGINEERING,2096-1529,2836-4619,"Engineering, Electrical & Electronic",S4210171877
10942,CHINESE JOURNAL OF ENVIRONMENTAL LAW,2468-6034,2468-6042,Environmental Studies | Law,S4210207726
10943,CHINESE JOURNAL OF LASERS-ZHONGGUO JIGUANG,0258-7025,0258-7025,Optics,S4210218867
10944,CHINESE JOURNAL OF LIQUID CRYSTALS AND DISPLAYS,1007-2780,2097-3217,Crystallography,S2764785651
10945,CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT,2096-9589,2325-4262,Environmental Studies,S4210190789
10946,CHINESE JOURNAL OF SOCIOLOGY,2057-150X,2057-1518,Sociology,S2764961298
10947,CHINESE JOURNAL OF TRAUMATOLOGY,1008-1275,1008-1275,Orthopedics,S2764832985
10948,CHINESE JOURNAL OF URBAN AND ENVIRONMENTAL STUDIES,2345-7481,2345-752X,Urban Studies,S2764742078
10949,CHINESE LANGUAGE AND DISCOURSE,1877-7031,1877-8798,Linguistics,S4210205449
10950,CHINESE MEDICAL JOURNAL PULMONARY AND CRITICAL CARE MEDICINE,2097-1982,2772-5588,Respiratory System | Critical Care Medicine,
10951,CHINESE MEDICINE AND CULTURE,2589-9627,2589-9473,History & Philosophy Of Science | Integrative & Complementary Medicine,S4210179182
10952,CHINESE OPTICS,2097-1842,2097-1842,Optics,S4387282074
10953,CHINESE POLITICAL SCIENCE REVIEW,2365-4244,2365-4252,Political Science,S4210194389
10954,CHINESE PUBLIC ADMINISTRATION REVIEW,1539-6754,2573-1483,Public Administration,S4210231999
10955,CHINESE SCIENCE BULLETIN-CHINESE,0023-074X,2095-9419,Multidisciplinary Sciences,S4210173430
10956,CHINESE SEMIOTIC STUDIES,2198-9605,2198-9613,"Humanities, Multidisciplinary | Communication | Linguistics",S2764748910
10957,CHINESE SPACE SCIENCE AND TECHNOLOGY,1000-758X,1000-758X,"Engineering, Aerospace",S4306506077
10958,CHIP,2709-4723,2772-2724,"Optics | Engineering, Electrical & Electronic | Physics, Applied",S4210180095
10959,CHIRURGIA,1221-9118,1842-368X,Surgery,S4210209283
10960,CHIRURGIA-ITALY,0394-9508,1827-1782,Surgery,S4210197164
10961,CHOREOGRAPHIC PRACTICES,2040-5669,2040-5677,Dance,S4210172807
10962,CHRISTIAN EDUCATION JOURNAL,0739-8913,2378-525X,Education & Educational Research | Religion,S3023632026
10963,CHRISTIAN HIGHER EDUCATION,1536-3759,1539-4107,Education & Educational Research,S150116334
10964,CHROMATOGRAPHY,1342-8284,1348-3315,"Chemistry, Analytical",S4210188149
10965,CHRONICA NOVA,0210-9611,2445-1908,History,S4210226382
10966,CHRONIC WOUND CARE MANAGEMENT AND RESEARCH,2324-481X,2324-481X,Health Care Sciences & Services,S2738241810
10967,CHUNG WAI LITERARY QUARTERLY,0303-0849,0303-0849,Asian Studies | Literature,
10968,CHURCH HISTORY AND RELIGIOUS CULTURE,1871-241X,1871-2428,Religion,S30892302
10969,CHUZHDOEZIKOVO OBUCHENIE-FOREIGN LANGUAGE TEACHING,0205-1834,1314-8508,Language & Linguistics,S4210200309
10970,CIAN-REVISTA DE HISTORIA DE LAS UNIVERSIDADES,1139-6628,1988-8503,Education & Educational Research,S4210217640
10971,CIC-CUADERNOS DE INFORMACION Y COMUNICACION,1135-7991,1988-4001,Communication,S2739183238
10972,CIENCIA AMAZONICA,2221-5948,2222-7431,Biology,S2736719286
10973,CIENCIA ANIMAL BRASILEIRA,1518-2797,1809-6891,"Agriculture, Dairy & Animal Science | Veterinary Sciences",S2738151753
10974,CIENCIA E INGENIERIA,1316-7081,2244-8780,"Engineering, Multidisciplinary",S4387284745
10975,CIENCIA ERGO-SUM,1405-0269,2395-8782,"Social Sciences, Interdisciplinary",S2737520009
10976,CIENCIA JURIDICA,2007-3577,2007-6142,Law,S4210228871
10977,CIENCIA POLITICA,1909-230X,2389-7481,Political Science,S2739395753
10978,CIENCIAS AGRONOMICAS,1853-4333,2250-8872,Agronomy,S4306526834
10979,CIENCIAUAT,2007-7521,2007-7858,Multidisciplinary Sciences,S2738668525
10980,CIENCIA UNEMI,1390-4272,2528-7737,"Social Sciences, Interdisciplinary",S4210182376
10981,CIMEXUS,1870-6479,2007-9206,Political Science,S4210223307
10982,CIM JOURNAL,1923-6026,2689-8403,Mining & Mineral Processing | Metallurgy & Metallurgical Engineering,S4210219240
10983,CINE DOCUMENTAL,1852-4699,1852-4699,"Film, Radio, Television",
10984,CINEJ CINEMA JOURNAL,2159-2411,2158-8724,"Film, Radio, Television",S2736513533
10985,CINEMA-JOURNAL OF PHILOSOPHY AND THE MOVING IMAGE,1647-8991,1647-8991,"Film, Radio, Television | Philosophy",S1017132255
10986,CINEMAS,1181-6945,1705-6500,"Film, Radio, Television",S4210172999
10987,CINTA DE MOEBIO,0717-554X,0717-554X,Philosophy,S86099896
10988,CIRCUIT,1183-1693,1183-1693,Music,S4210223424
10989,CIRCULATION REPORTS,,2434-0790,Cardiac & Cardiovascular System,
10990,CIRIEC-ESPANA REVISTA DE ECONOMIA PUBLICA SOCIAL Y COOPERATIVA,0213-8093,1989-6816,Economics,S4306506326
10991,CIRUGIA CARDIOVASCULAR,1134-0096,1134-0096,Surgery,S2739184106
10992,CIS IRON AND STEEL REVIEW,2072-0815,2414-1089,Metallurgy & Metallurgical Engineering,S4210210816
10993,CITIES & HEALTH,2374-8834,2374-8842,"Urban Studies | Public, Environmental & Occupational Health",S4210220597
10994,CITY AND ENVIRONMENT INTERACTIONS,2590-2520,2590-2520,Environmental Sciences | Environmental Studies | Meteorology & Atmospheric Sciences,S4210239238
10995,CITYSCAPE,1936-007X,1939-1935,Urban Studies,S4393917946
10996,CITY & SOCIETY,0893-0465,1548-744X,Anthropology,S2764350772
10997,CIUDADES-REVISTA DEL INSTITUTO UNIVERSITARIO DE URBANISTICA DE LA UNIVERSIDAD DE VALLADOLID,1133-6579,2445-3943,Urban Studies,S4210168929
10998,CIUDAD PAZ-ANDO,2011-5253,2422-278X,Political Science,S2737189844
10999,CIUDAD Y TERRITORIO-ESTUDIOS TERRITORIALES-CYTET,1133-4762,,Urban Studies,S4210235103
11000,CIVIL AND ENVIRONMENTAL ENGINEERING,1336-5835,2199-6512,"Engineering, Civil",S2737494370
11001,CIVIL AND ENVIRONMENTAL ENGINEERING REPORTS,2080-5187,2450-8594,"Engineering, Civil",S2736307501
11002,CIVILENG,,2673-4109,"Engineering, Civil",
11003,CIVIL ENGINEERING INFRASTRUCTURES JOURNAL-CEIJ,2322-2093,2423-6691,"Engineering, Civil",S2764440257
11004,CIVIL ENGINEERING JOURNAL-STAVEBNI OBZOR,1210-4027,1805-2576,"Engineering, Civil",S4210234219
11005,CIVIL ENGINEERING JOURNAL-TEHRAN,2676-6957,2476-3055,"Engineering, Civil",S3021962178
11006,CIVIL JUSTICE QUARTERLY,0261-9261,,Law,
11007,CIVIL WARS,1369-8249,1743-968X,Political Science,S186818105
11008,CJC OPEN,2589-790X,2589-790X,Cardiac & Cardiovascular System,S4210204950
11009,C-JOURNAL OF CARBON RESEARCH,,2311-5629,"Materials Science, Multidisciplinary",
11010,CLARIDADES-REVISTA DE FILOSOFIA,1889-6855,1989-3787,Philosophy,S4210206076
11011,CLASSROOM DISCOURSE,1946-3014,1946-3022,Education & Educational Research,S4210173574
11012,CLEAN ENERGY,2515-4230,2515-396X,"Green & Sustainable Science & Technology | Energy & Fuels | Engineering, Environmental",S4210177959
11013,CLEANER AND RESPONSIBLE CONSUMPTION,2666-7843,2666-7843,Green & Sustainable Science & Technology | Environmental Sciences | Environmental Studies,S4210227184
11014,CLEANER ENGINEERING AND TECHNOLOGY,2666-7908,2666-7908,"Green & Sustainable Science & Technology | Engineering, Environmental | Environmental Sciences",S4210217486
11015,CLEANER ENVIRONMENTAL SYSTEMS,2666-7894,2666-7894,"Green & Sustainable Science & Technology | Engineering, Environmental | Environmental Sciences | Environmental Studies",S4210214064
11016,CLEANER LOGISTICS AND SUPPLY CHAIN,2772-3909,2772-3909,Operations Research & Management Science,S4210223519
11017,CLEANER MATERIALS,,2772-3976,"Materials Science, Multidisciplinary",
11018,CLEANER PRODUCTION LETTERS,,2666-7916,Environmental Studies | Green & Sustainable Science & Technology,
11019,CLEANER WASTE SYSTEMS,,2772-9125,"Environmental Sciences | Engineering, Environmental",
11020,CLEAN TECHNOLOGIES,,2571-8797,"Green & Sustainable Science & Technology | Engineering, Environmental | Environmental Sciences",
11021,CLIMATE,,2225-1154,Meteorology & Atmospheric Sciences,
11022,CLIMATE LAW,1878-6553,1878-6561,Environmental Studies | Law,S2764697639
11023,CLINICA E INVESTIGACION EN ARTERIOSCLEROSIS,0214-9168,1578-1879,Peripheral Vascular Diseases,S2898450218
11024,CLINICA E INVESTIGACION EN GINECOLOGIA Y OBSTETRICIA,0210-573X,1578-9349,Obstetrics & Gynecology,S2898269245
11025,CLINICAL ADVANCES IN HEMATOLOGY & ONCOLOGY,1543-0790,1543-0790,Oncology,S2764815603
11026,CLINICAL ADVANCES IN PERIODONTICS,2573-8046,2163-0097,"Dentistry, Oral Surgery & Medicine",S2764953765
11027,CLINICAL AND EXPERIMENTAL DENTAL RESEARCH,2057-4347,2057-4347,"Dentistry, Oral Surgery & Medicine",S4210189330
11028,CLINICAL AND EXPERIMENTAL EMERGENCY MEDICINE,2383-4625,2383-4625,Emergency Medicine,S2764359375
11029,CLINICAL AND EXPERIMENTAL GASTROENTEROLOGY,1178-7023,1178-7023,Gastroenterology & Hepatology,S57554383
11030,CLINICAL AND EXPERIMENTAL HEALTH SCIENCES,2459-1459,2459-1459,"Medicine, Research & Experimental",S2764997520
11031,CLINICAL AND EXPERIMENTAL HEPATOLOGY,2392-1099,2449-8238,Gastroenterology & Hepatology,S4210238048
11032,CLINICAL AND EXPERIMENTAL PEDIATRICS,,2713-4148,Pediatrics,
11033,CLINICAL AND EXPERIMENTAL REPRODUCTIVE MEDICINE-CERM,2233-8233,2233-8241,Obstetrics & Gynecology | Reproductive Biology,S2764373271
11034,CLINICAL AND EXPERIMENTAL VACCINE RESEARCH,2287-3651,2287-366X,Immunology,S2764836785
11035,CLINICAL AND INVESTIGATIVE ORTHODONTICS,2770-5781,2770-579X,"Dentistry, Oral Surgery & Medicine",S4220650911
11036,CLINICAL AND TRANSLATIONAL DISCOVERY,,2768-0622,"Medicine, Research & Experimental",
11037,CLINICAL AND TRANSLATIONAL NEUROSCIENCE,,2514-183X,Clinical Neurology | Neurosciences,
11038,CLINICAL CASE REPORTS,2050-0904,2050-0904,"Medicine, General & Internal",S2737168579
